len,iter,sample_output,gen_loss,dis_loss
1,1,n,1.1971139726,0.574684408762
1,2,q,1.69262971716,0.454652060392
1,3,h,1.06591453391,0.454652060392
1,4, ,0.934978879104,0.763982075756
1,5,r,1.08850772401,0.646248418396
1,6,i,1.05595427651,0.689666646012
1,7,v,0.831828432568,0.820594303689
1,8,m,0.991449908685,0.715176660126
1,9,i,1.04301215632,0.67208871902
1,10,i,1.17368688826,0.586375957828
1,11,e,0.90891680576,0.8487276445
1,12,t,0.85151537091,0.822769051891
1,13,p,0.947462367809,0.776064958613
1,14,p,0.947467372579,0.78481294442
1,15,n,0.9451819335,0.784650734926
1,16,z,0.995426855855,0.725320100784
1,17,l,1.00349434453,0.709986749342
1,18,t,0.951537214093,0.738036444632
1,19,b,0.950713642573,0.725586744688
1,20,o,0.943451135846,0.766627140975
1,21,b,0.943322278685,0.771173378169
1,22,s,0.938265228676,0.774374123347
1,23,s,0.926135897636,0.770306057849
1,24,r,0.968578260834,0.74246124999
1,25,g,0.966956261861,0.733208346165
1,26,g,0.94562894308,0.747851900125
1,27,l,0.96317711624,0.718668025429
1,28,l,0.917255443032,0.773928434162
1,29,e,0.945011596558,0.766570103371
1,30,l,0.980185807761,0.729610914901
1,31,l,0.994419655557,0.712179217298
1,32,e,0.96369681419,0.758765800525
1,33,a,0.992726602797,0.712804107343
1,34,e,0.978963607449,0.714112871784
1,35,h,0.97728834718,0.730483294544
1,36,i,0.940388390573,0.761493488894
1,37,i,0.940422276319,0.762265970141
1,38,i,0.985949779971,0.693573817358
1,39,e,0.974539313276,0.710302587283
1,40,i,0.994118623814,0.725919812413
1,41,g,0.968112524283,0.73124103728
1,42,f,0.998258094666,0.706095366155
1,43,i,0.956491218785,0.721597417936
1,44,i,0.930764801421,0.745781481266
1,45,f,0.910050772004,0.782457288039
1,46,i,0.94020620342,0.774805490243
1,47,t,0.946228067754,0.75621782117
1,48,f,0.940266769821,0.753908891799
1,49,i,0.948582953316,0.74338294894
1,50,t,0.945754520974,0.732509277635
1,51,i,0.93920037504,0.744027079162
1,52,f,0.940539744951,0.752286099781
1,53,t,0.945809305724,0.739314094438
1,54,f,0.941872275482,0.739014011318
1,55,i,0.937378601503,0.736554931786
1,56,f,0.934488211648,0.738234739182
1,57,i,0.946264892311,0.727651865806
1,58,z,0.902925103398,0.783914825674
1,59,f,0.927741413399,0.746934755374
1,60,z,0.945095075389,0.761684706656
1,61,j,0.976084956678,0.726525197595
1,62,j,0.962923733865,0.732520227715
1,63,i,0.987341279701,0.717067933689
1,64,i,0.961630165577,0.728293450202
1,65,j,0.98081974761,0.712982233298
1,66,f,0.975658478373,0.716035014492
1,67,f,0.977009679301,0.713928554018
1,68,i,0.964618307049,0.721581983364
1,69,j,0.9460093278,0.749573111534
1,70,s,0.969861897372,0.728376870438
1,71,j,0.963163647611,0.73395761797
1,72,l,0.975014962382,0.736842707052
1,73,f,0.981191022921,0.713285191584
1,74,j,0.946355718677,0.753372109542
1,75,i,0.943622765905,0.746236995115
1,76,s,0.951470108356,0.743114575491
1,77,i,0.94971053176,0.74770218336
1,78,f,0.952909972708,0.74388303494
1,79,f,0.95332219338,0.75914995044
1,80,f,0.966872319327,0.740191213155
1,81,v,0.960731424518,0.741196994054
1,82,f,0.96291333437,0.736604991606
1,83,j,0.94824792571,0.746476366358
1,84,d,0.958543431961,0.737512718823
